Date,Open,High,Low,Close,Adj Close,Volume
1987-05-19,0.400174,0.400174,0.386285,0.386285,0.244091,78336000
1987-05-20,0.384549,0.384549,0.372396,0.380208,0.240251,228355200
1987-05-21,0.381076,0.391493,0.381076,0.387153,0.244639,93312000
1987-05-22,0.387153,0.388889,0.374132,0.375868,0.237508,64627200
1987-05-26,0.375868,0.381944,0.375000,0.380208,0.240251,46886400
1987-05-27,0.380208,0.388889,0.378472,0.380208,0.240251,48758400
1987-05-28,0.380208,0.404514,0.379340,0.403646,0.255061,108662400
1987-05-29,0.403646,0.410590,0.399306,0.400174,0.252867,80380800
1987-06-01,0.400174,0.400174,0.392361,0.392361,0.247930,30326400
1987-06-02,0.392361,0.398438,0.385417,0.390625,0.246833,51552000
1987-06-03,0.392361,0.398438,0.392361,0.393229,0.248479,21628800
1987-06-04,0.393229,0.393229,0.388021,0.390625,0.246833,20390400
1987-06-05,0.390625,0.392361,0.371528,0.379340,0.239702,59270400
1987-06-08,0.379340,0.381944,0.373264,0.381076,0.240799,111571200
1987-06-09,0.381076,0.381944,0.376736,0.378472,0.239154,25833600
1987-06-10,0.378472,0.380208,0.351563,0.359375,0.227087,176256000
1987-06-11,0.365451,0.367188,0.337674,0.338542,0.213922,268704000
1987-06-12,0.338542,0.352431,0.337674,0.341146,0.215568,196156800
1987-06-15,0.341146,0.346354,0.334201,0.341146,0.215568,125222400
1987-06-16,0.341146,0.352431,0.340278,0.348090,0.219956,73526400
1987-06-17,0.349826,0.361111,0.349826,0.360243,0.227635,71078400
1987-06-18,0.359375,0.364583,0.354167,0.364149,0.230103,56188800
1987-06-19,0.365451,0.368924,0.361111,0.362847,0.229281,40809600
1987-06-22,0.364583,0.364583,0.357639,0.360243,0.227635,87436800
1987-06-23,0.360243,0.360243,0.348958,0.356771,0.225441,100771200
1987-06-24,0.358507,0.368056,0.358507,0.363715,0.229829,82684800
1987-06-25,0.362847,0.364583,0.359375,0.362847,0.229281,44035200
1987-06-26,0.363715,0.365451,0.360243,0.363715,0.229829,21945600
1987-06-29,0.363715,0.363715,0.355903,0.361979,0.228732,25632000
1987-06-30,0.362847,0.363715,0.353299,0.354167,0.223796,38332800
1987-07-01,0.353299,0.358507,0.352431,0.355903,0.224893,21945600
1987-07-02,0.356771,0.356771,0.342882,0.347222,0.219407,56880000
1987-07-06,0.346354,0.350694,0.336806,0.338542,0.213922,65491200
1987-07-07,0.337674,0.337674,0.310764,0.313368,0.198015,197078400
1987-07-08,0.315972,0.328993,0.307292,0.323785,0.204598,193449600
1987-07-09,0.325521,0.340278,0.323785,0.332465,0.210082,92707200
1987-07-10,0.330729,0.338542,0.326389,0.336806,0.212826,75830400
1987-07-13,0.336806,0.345486,0.333333,0.344618,0.217762,48326400
1987-07-14,0.347222,0.365451,0.345486,0.364583,0.230378,152812800
1987-07-15,0.364583,0.367188,0.355035,0.355035,0.224344,96768000
1987-07-16,0.355903,0.357639,0.347222,0.354167,0.223796,72979200
1987-07-17,0.354167,0.361111,0.353299,0.355035,0.224344,51264000
1987-07-20,0.354167,0.354167,0.344618,0.345486,0.218310,42019200
1987-07-21,0.345486,0.350694,0.342014,0.344618,0.217762,36547200
1987-07-22,0.344618,0.348958,0.342014,0.347222,0.219407,53366400
1987-07-23,0.347222,0.347222,0.326389,0.339410,0.214471,148492800
1987-07-24,0.340278,0.345486,0.339410,0.342014,0.216116,57744000
1987-07-27,0.342014,0.346354,0.336806,0.346354,0.218859,41817600
1987-07-28,0.348090,0.353299,0.344618,0.345486,0.218310,38160000
1987-07-29,0.345486,0.346354,0.339410,0.344618,0.217762,27676800
1987-07-30,0.344618,0.344618,0.333333,0.336806,0.212826,55555200
1987-07-31,0.335069,0.335069,0.319444,0.326389,0.206243,186624000
1987-08-03,0.326389,0.328125,0.316840,0.318576,0.201306,116352000
1987-08-04,0.318576,0.325521,0.318576,0.325521,0.205695,135072000
1987-08-05,0.326389,0.342014,0.325521,0.337674,0.213374,211190400
1987-08-06,0.338542,0.352865,0.338542,0.350694,0.221601,152553600
1987-08-07,0.350694,0.362847,0.349826,0.359375,0.227087,171014400
1987-08-10,0.360243,0.361111,0.355903,0.359375,0.227087,56448000
1987-08-11,0.361111,0.362847,0.350694,0.352431,0.222699,68544000
1987-08-12,0.352431,0.353299,0.347222,0.347222,0.219407,42364800
1987-08-13,0.347222,0.362847,0.347222,0.357639,0.225990,80640000
1987-08-14,0.357639,0.360243,0.355903,0.359375,0.227087,50832000
1987-08-17,0.359375,0.361979,0.357639,0.361979,0.228732,33667200
1987-08-18,0.359375,0.361111,0.352431,0.355903,0.224893,46944000
1987-08-19,0.355903,0.356771,0.348958,0.355903,0.224893,48902400
1987-08-20,0.355903,0.367188,0.355903,0.365451,0.230926,82051200
1987-08-21,0.364583,0.375868,0.364583,0.371528,0.234766,68976000
1987-08-24,0.371528,0.389757,0.366319,0.388021,0.245188,97747200
1987-08-25,0.391493,0.405382,0.387153,0.398438,0.251770,185961600
